mouseReads	humanReads	mouseMT	humanMT	mouseNuclearReads	humanNuclearReads	nuclearMouseHumanRatio	mtMouseHumanRatio	fracMito	totalAlignedReads
127	4349	48	2790	79	1559	0.050673508659397	0.0172043010752688	0.634048257372654	4476
125577	846	15829	297	109748	549	199.905282331512	53.2962962962963	0.127555903593492	126423
49	1166	6	862	43	304	0.141447368421053	0.00696055684454756	0.71440329218107	1215
994	14	556	12	438	2	219	46.3333333333333	0.563492063492063	1008
27321	117	5908	72	21413	45	475.844444444444	82.0555555555556	0.21794591442525	27438
2063	48	1071	18	992	30	33.0666666666667	59.5	0.515869256276646	2111
66	1456	20	570	46	886	0.0519187358916479	0.0350877192982456	0.387647831800263	1522
70	3216	16	2208	54	1008	0.0535714285714286	0.0072463768115942	0.67681071211199	3286
89	12322	0	6598	89	5724	0.0155485674353599	0	0.53162517121908	12411
1377	13	298	2	1079	11	98.0909090909091	149	0.215827338129496	1390
47396	366	7421	209	39975	157	254.617834394904	35.5071770334928	0.159750429211507	47762
654	94927	53	22064	601	72863	0.00824835650467315	0.00240210297316896	0.23139536100271	95581
314	10262	66	7350	248	2912	0.0851648351648352	0.00897959183673469	0.701210287443268	10576
35192	22197	143	8313	35049	13884	2.52441659464131	0.0172019728136653	0.147345310076844	57389
249	113	0	1	249	112	2.22321428571429	0	0.00276243093922652	362
60	9381	37	7890	23	1491	0.0154258886653253	0.00468948035487959	0.839635631818663	9441
26600	104	5996	35	20604	69	298.608695652174	171.314285714286	0.225846315158778	26704
13902	74	7382	51	6520	23	283.478260869565	144.745098039216	0.53184029765312	13976
34	7564	0	2705	34	4859	0.00699732455237703	0	0.356014740721242	7598
11421	87	2557	22	8864	65	136.369230769231	116.227272727273	0.224104970455335	11508
17830	33494	6862	10354	10968	23140	0.473984442523768	0.662739038052926	0.335437612033357	51324
1005	3	17	0	988	3	329.333333333333	Inf	0.0168650793650794	1008
536	451	11	216	525	235	2.23404255319149	0.0509259259259259	0.229989868287741	987
